Participant_ID,Task,Name,Email,Phone,Address,Finance_related,Medical_info
P1,Refund,5,1,1,2,2,0
P1,Medical,3,2,1,0,1,2
P1,Rental,0,0,1,0,1,1
P1,Job,4,1,0,4,0,0
P2,Refund,1,1,0,3,1,0
P2,Medical,2,3,2,1,0,2
P2,Rental,3,0,1,1,1,0
P2,Job,2,3,1,1,1,0
P3,Refund,1,0,2,2,1,1
P3,Medical,2,1,0,0,1,2
P3,Rental,3,0,2,1,0,0
P3,Job,0,0,1,1,2,0
P4,Refund,1,0,2,0,1,0
P4,Medical,3,2,2,1,0,2
P4,Rental,1,1,0,2,2,0
P4,Job,2,2,0,3,0,1
P5,Refund,1,0,0,3,1,0
P5,Medical,4,1,0,0,0,1
P5,Rental,1,1,2,0,0,0
P5,Job,0,1,1,1,0,0
P6,Refund,2,1,0,2,1,0
P6,Medical,0,3,1,2,0,1
P6,Rental,1,0,0,2,1,0
P6,Job,1,1,2,2,1,0
P7,Refund,4,1,1,2,0,0
P7,Medical,3,2,0,1,1,1
P7,Rental,1,3,1,0,0,0
P7,Job,1,0,0,1,0,0
,,52,31,24,38,19,14
